         73065575 function calls (72108445 primitive calls) in 193.787 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  138/136    0.006    0.000    0.244    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/rewrites/registry.py:54(apply)
    41620    0.042    0.000    0.239    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/values.py:544(_to_string)
      642    0.002    0.000    0.238    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axes/_axes.py:1476(plot)
174656/89848    0.036    0.000    0.234    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:463(format)
  2811570    0.168    0.000    0.226    0.000 {built-in method builtins.isinstance}
      621    0.000    0.000    0.217    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/postproc.py:42(usedefs)
174656/89848    0.085    0.000    0.215    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:551(_safe_repr)
    69/68    0.000    0.000    0.212    0.003 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typed_passes.py:224(run_pass)
149094/141876    0.024    0.000    0.211    0.000 {built-in method builtins.next}
        1    0.005    0.005    0.207    0.207 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axes3d.py:473(<lambda>)
 1056/810    0.001    0.000    0.204    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/base.py:261(refresh)
      535    0.000    0.000    0.202    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/binding/passmanagers.py:745(run)
        1    0.006    0.006    0.202    0.202 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/mpl_toolkits/mplot3d/art3d.py:350(do_3d_projection)
      228    0.001    0.000    0.201    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/lowering.py:811(lower_getitem)
     1912    0.037    0.000    0.201    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:377(_format_dict_items)
    40925    0.033    0.000    0.198    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/instructions.py:13(__init__)
    49100    0.022    0.000    0.178    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/values.py:537(__init__)
       69    0.000    0.000    0.177    0.003 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/untyped_passes.py:1725(run_pass)
